id_hotel,name_hotel,money,rating_hotel,score_amenities_hotel,rating_amenities_hotel,amenities
h15129,"Martinique New York on Broadway, Curio Collection by Hilton",212,4.0,8.6, Excellent,"Pet friendly, Air conditioning, Restaurant, Gym, Breakfast available, Business services"
h11668,Renaissance New York Midtown Hotel,269,4.0,9.2, Wonderful,"Free WiFi, Air conditioning, Restaurant, Gym, Business services, Parking available"
h36712,Doubletree by Hilton New York Times Square South,206,3.5,8.4, Very Good,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Breakfast available"
h17117,"PUBLIC, an Ian Schrager hotel",299,4.0,8.0, Very Good,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Breakfast available"
h17924,Moxy NYC Times Square,170,4.0,8.4, Very Good,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Business services"
h59504,"Club Quarters Hotel, Grand Central",171,4.0,8.2, Very Good,"Free WiFi, Pet friendly, Air conditioning, Gym, Business services, Parking available"
h55092,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",143,3.0,7.6, Good,"Free WiFi, Breakfast included, Air conditioning, Gym, Business services, Laundry"
h11718,Hilton Garden Inn New York Times Square North,215,4.0,8.6, Excellent,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Breakfast available"
h17939,The James New York - NoMad,259,4.5,8.4, Very Good,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Breakfast available"
h79466,Hilton Garden Inn New York/Midtown Park Ave,167,3.0,8.4, Very Good,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Breakfast available"
h19681,Pod Times Square,159,3.0,8.6, Excellent,"Pet friendly, Air conditioning, Restaurant, Bar, Housekeeping, 24/7 front desk"
h23668,Hilton Garden Inn New York/West 35th Street,224,3.0,9.0, Wonderful,"Free WiFi, Pet friendly, Air conditioning, Gym, Breakfast available, Business services"
h62560,Hotel Boutique at Grand Central,171,4.0,8.4, Very Good,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Business services"
h37361,Sheraton Tribeca New York Hotel,175,4.0,8.2, Very Good,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Breakfast available"
h39286,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",215,4.0,9.2, Wonderful,"Free WiFi, Pet friendly, Air conditioning, Gym, Business services, Laundry"
h10961,Hampton Inn Manhattan/Times Square Central,189,3.5,8.6, Excellent,"Free WiFi, Breakfast included, Air conditioning, Gym, Business services, Laundry"
h87406,Virgin Hotels New York City,213,5.0,8.8, Excellent,"Pool, Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym"
h17432,Hilton Garden Inn New York Times Square South,195,3.0,8.6, Excellent,"Free WiFi, Pet friendly, Air conditioning, Gym, Business services, Laundry"
h16233,Hilton Garden Inn New York/Manhattan-Chelsea,212,3.0,8.4, Very Good,"Free WiFi, Pet friendly, Air conditioning, Breakfast available, Business services, Parking available"
h48669,Arlo Midtown,254,4.0,9.2, Wonderful,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Breakfast available"
h18645,Four Points by Sheraton Manhattan SoHo Village,152,3.0,8.2, Very Good,"Free WiFi, Air conditioning, Restaurant, Gym, Breakfast available, Business services"
h24245,Paramount Times Square,138,4.0,7.0, Good,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Bar"
h53399,"Club Quarters, Times Square - Midtown",197,4.0,8.4, Very Good,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Business services"
h38772,Element New York Times Square West,202,3.0,7.8, Good,"Free WiFi, Breakfast included, Pet friendly, Air conditioning, Kitchen, Gym"
h12521,Arlo NoMad,226,4.0,8.0, Very Good,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Business services, Parking available"
h30674,Fairfield Inn & Suites New York Manhattan/Times Square South,178,4.0,8.2, Very Good,"Free WiFi, Breakfast included, Pet friendly, Air conditioning, Restaurant, Business services"
h23677,Hyatt Grand Central New York,284,4.0,7.8, Good,"Free WiFi, Pet friendly, Air conditioning, Spa, Gym, Breakfast available"
h68272,Pendry Manhattan West,616,5.0,9.6, Exceptional,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Breakfast available"
h17793,Mondrian Park Avenue,189,4.5,7.4, Good,"Free WiFi, Pet friendly, Air conditioning, Business services, Parking available, Bar"
h30162,"Club Quarters Hotel, World Trade Center",197,4.0,8.6, Excellent,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Business services"
h36942,Courtyard by Marriott New York Downtown Manhattan/Financial District,149,3.0,7.6, Good,"Free WiFi, Air conditioning, Restaurant, Gym, Breakfast available, Business services"
h37842,Hyatt Place New York City/Times Square,209,4.0,7.8, Good,"Free WiFi, Breakfast included, Pet friendly, Air conditioning, Restaurant, Gym"
h35234,Wingate by Wyndham New York Midtown South/5th Ave,178,2.5,8.2, Very Good,"Free WiFi, Breakfast included, Air conditioning, Housekeeping, 24/7 front desk"
h42333,Hilton New York Times Square,186,4.0,8.4, Very Good,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Breakfast available"
h19987,Courtyard by Marriott New York World Trade Center Area,179,3.0,8.2, Very Good,"Free WiFi, Air conditioning, Gym, Business services, Laundry, Housekeeping"
h67637,Archer Hotel New York,278,4.5,9.0, Wonderful,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Breakfast available, Parking available"
h34488,Courtyard by Marriott New York Manhattan/Midtown West,243,3.5,9.0, Wonderful,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Breakfast available"
h20842,Ameritania Hotel at Times Square,215,3.5,8.4, Very Good,"Free WiFi, Air conditioning, Gym, Business services, Laundry, Housekeeping"
h90868,The Flat NYC,173,2.0,10.0, Exceptional,"Free WiFi, 24/7 front desk"
h83569,citizenM New York Times Square,229,4.0,9.0, Wonderful,"Free WiFi, Air conditioning, Restaurant, Gym, Breakfast available, Business services"
h10624,Arlo SoHo,245,4.0,8.2, Very Good,"Free WiFi, Air conditioning, Restaurant, Breakfast available, Business services, Parking available"
h83702,Fairfield Inn New York Manhattan/Financial District,152,3.0,8.0, Very Good,"Free WiFi, Breakfast included, Air conditioning, Gym, Business services, Bar"
h25987,"Marriott Vacation Club Pulse, New York City",209,4.0,8.8, Excellent,"Free WiFi, Air conditioning, Gym, Business services, Parking available, Bar"
h24954,"Crowne Plaza Times Square Manhattan, an IHG Hotel",175,3.5,8.0, Very Good,"Free WiFi, Pet friendly, Air conditioning, Business services, Parking available, Room service"
h02896,New York LaGuardia Airport Marriott,254,3.5,8.4, Very Good,"Free WiFi, Free airport shuttle, Air conditioning, Restaurant, Gym, Breakfast available"
h60677,RIU Plaza Manhattan Times Square,319,4.0,9.0, Wonderful,"Free WiFi, Air conditioning, Restaurant, Gym, Breakfast available, Business services"
h36289,La Quinta Inn & Suites by Wyndham Times Square South,135,2.5,8.8, Excellent,"Free WiFi, Breakfast included, Pet friendly, Air conditioning, Business services, Laundry"
h11927,Fitzpatrick Grand Central,188,4.0,9.0, Wonderful,"Air conditioning, Restaurant, Breakfast available, Business services, Parking available, Bar"
h26457,Hotel 32 32,176,4.0,8.0, Very Good,"Air conditioning, Restaurant, Bar, 24/7 front desk"
h73530,Radio Hotel,174,3.0,8.8, Excellent,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Breakfast available"
h41823,The Frederick Hotel,179,4.0,8.6, Excellent,"Free WiFi, Breakfast included, Pet friendly, Air conditioning, Restaurant, Gym"
h27283,The Shelburne Sonesta New York,175,4.0,8.2, Very Good,"Pet friendly, Air conditioning, Gym, Business services, Parking available, Laundry"
h27924,Conrad New York Midtown,644,5.0,8.4, Very Good,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Breakfast available"
h41198,Soho Grand Hotel,359,4.5,8.8, Excellent,"Free WiFi, Pet friendly, Air conditioning, Restaurant, Gym, Breakfast available"
h54454,The Westin New York Grand Central,289,4.5,8.6, Excellent,"Pet friendly, Air conditioning, Restaurant, Gym, Breakfast available, Business services"
