id_hotel,name_hotel,rating_hotel,rating_amenities_hotel,amenities,location_nearby,around_nearby,restaurant_nearby,url,money
h15129,"Martinique New York on Broadway, Curio Collection by Hilton Reviews, Deals & Photos 2023 - Expedia",4.0 star property,8.6/10 Excellent,"['Pet friendly', 'Air conditioning', 'Restaurant', 'Gym', 'Breakfast available', 'Business services']","['Empire State Building - 3 min walk', 'Madison Square Garden - 9 min walk', 'Bryant Park - 10 min walk', 'Broadway - 11 min walk', 'Times Square - 13 min walk']","['New York W 32nd St. Station - 1 min walk', '34 St. Station (Herald Square) - 3 min walk', 'LaGuardia Airport (LGA) - 27 min drive']","['The Harold - 1 min walk', 'Biao Sugar - 1 min walk', 'Yong Kang Street - 1 min walk', 'Gaonnuri - 1 min walk', 'Tous Les Jours - 1 min walk']",https://www.expedia.com/New-York-Hotels-Martinique-New-York-On-Broadway.h151298.Hotel-Information,$212
h11668,"Renaissance New York Midtown Hotel Reviews, Deals & Photos 2023 - Expedia",4.0 star property,9.2/10 Wonderful,"['Free WiFi', 'Air conditioning', 'Restaurant', 'Gym', 'Business services', 'Parking available']","['Madison Square Garden - 4 min walk', 'Empire State Building - 6 min walk', 'Times Square - 9 min walk', 'Broadway - 9 min walk', 'Bryant Park - 10 min walk']","['34 St. - Penn Station (Fashion Av.) - 2 min walk', 'Penn Station - 6 min walk', 'John F. Kennedy Intl. Airport (JFK) - 51 min drive']","['Best Bagel & Coffee - 1 min walk', 'Starbucks - 1 min walk', 'Versa - 1 min walk', 'The Bread Factory Cafe - 1 min walk', ""TGI Friday's - 2 min walk""]",https://www.expedia.com/New-York-Hotels-Renaissance-New-York-Midtown-Hotel.h11668428.Hotel-Information,$269
h36712,"Doubletree by Hilton New York Times Square South Reviews, Deals & Photos 2023 - Expedia",3.5 star property,8.4/10 Very Good,"['Free WiFi', 'Pet friendly', 'Air conditioning', 'Restaurant', 'Gym', 'Breakfast available']","['Madison Square Garden - 4 min walk', 'Times Square - 8 min walk', 'Empire State Building - 10 min walk', 'Broadway - 10 min walk', 'Bryant Park - 12 min walk']","['34 St. - Penn Station - 3 min walk', 'Penn Station - 5 min walk', 'John F. Kennedy Intl. Airport (JFK) - 50 min drive']","['The Tailor Public House - 1 min walk', 'Starbucks - 2 min walk', 'Gregorys Coffee - 1 min walk', 'Essen - 1 min walk', 'The Houndstooth Pub - 1 min walk']",https://www.expedia.com/New-York-Hotels-Radisson-Hotel-New-York-Times-Square.h36712878.Hotel-Information,$206
h17117,"PUBLIC, an Ian Schrager hotel Reviews, Deals & Photos 2023 - Expedia",4.0 star property,8.0/10 Very Good,"['Free WiFi', 'Pet friendly', 'Air conditioning', 'Restaurant', 'Gym', 'Breakfast available']","['Washington Square Park - 14 min walk', 'Wall Street - 4 min drive', 'Brooklyn Bridge - 5 min drive', 'National September 11 Memorial - 6 min drive', 'One World Trade Center - 6 min drive']","['2 Av. Station - 2 min walk', 'New York 9th St. Station - 3 min drive', 'John F. Kennedy Intl. Airport (JFK) - 50 min drive']","['La Colombe Coffee Roasters - 2 min walk', 'Chopped, Topped & Wrapped - 2 min walk', 'Public - Rooftop & Garden - 1 min walk', 'Freemans - 3 min walk', 'The Box - 1 min walk']",https://www.expedia.com/New-York-Hotels-PUBLIC.h17117062.Hotel-Information,$299
h17924,"Moxy NYC Times Square Reviews, Deals & Photos 2023 - Expedia",4.0 star property,8.4/10 Very Good,"['Free WiFi', 'Pet friendly', 'Air conditioning', 'Restaurant', 'Gym', 'Business services']","['Empire State Building - 6 min walk', 'Broadway - 7 min walk', 'Madison Square Garden - 7 min walk', 'Times Square - 7 min walk', 'Bryant Park - 8 min walk']","['34 St. - Penn Station (Fashion Av.) - 3 min walk', 'New York W 32nd St. Station - 7 min walk', 'LaGuardia Airport (LGA) - 28 min drive']","['Magic Hour Rooftop Bar & Lounge - 1 min walk', 'Starbucks - 1 min walk', 'The Bread Factory Cafe - 1 min walk', 'Pig n Whistle - 1 min walk', 'Zen Ramen & Sushi - 1 min walk']",https://www.expedia.com/New-York-Hotels-Moxy-NYC-Times-Square.h17924434.Hotel-Information,$170
h59504,"Club Quarters Hotel, Grand Central Reviews, Deals & Photos 2023 - Expedia",4.0 star property,8.2/10 Very Good,"['Free WiFi', 'Pet friendly', 'Air conditioning', 'Gym', 'Business services', 'Parking available']","['Grand Central Terminal - 8 min walk', 'Bryant Park - 11 min walk', 'Broadway - 15 min walk', 'Times Square - 17 min walk', 'Empire State Building - 19 min walk']","['Grand Central - 42 St. Station - 7 min walk', '5 Av Station (W. 42nd St.) - 9 min walk', 'John F. Kennedy Intl. Airport (JFK) - 47 min drive']","['The Wheeltapper Pub - 2 min walk', '99 Cent Fresh Pizza - 1 min walk', 'Gai Chicken & Rice - 1 min walk', 'Dos Toros Taqueria - 1 min walk', ""Uncle Charlie's - 1 min walk""]",https://www.expedia.com/New-York-Hotels-Club-Quarters-Hotel.h5950418.Hotel-Information,$171
h55092,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel Reviews, Deals & Photos 2023 - Expedia",3.0 star property,7.6/10 Good,"['Free WiFi', 'Breakfast included', 'Air conditioning', 'Gym', 'Business services', 'Laundry']","['Manhattan Cruise Terminal - 12 min walk', 'Times Square - 16 min walk', 'Broadway - 17 min walk', 'Rockefeller Center - 17 min walk', 'Museum of Modern Art - 3 min drive']","['New York W 32nd St. Station - 3 min drive', '50 St. Station (8th Av.) - 12 min walk', 'LaGuardia Airport (LGA) - 38 min drive']","['The Press Lounge - 2 min walk', 'Hardware Bar - 2 min walk', 'Landmark Tavern - 3 min walk', 'Thirst NYC - 2 min walk', 'American Retro - 4 min walk']",https://www.expedia.com/New-York-Hotels-Holiday-Inn-Express-New-York-Manhattan-West-Side.h5509220.Hotel-Information,$143
h11718,"Hilton Garden Inn New York Times Square North Reviews, Deals & Photos 2023 - Expedia",4.0 star property,8.6/10 Excellent,"['Free WiFi', 'Pet friendly', 'Air conditioning', 'Restaurant', 'Gym', 'Breakfast available']","['Rockefeller Center - 5 min walk', 'Bryant Park - 6 min walk', 'Broadway - 8 min walk', 'Times Square - 10 min walk', 'Empire State Building - 15 min walk']","['47 - 50 Sts - Rockefeller Center Station - 4 min walk', 'Grand Central - 42 St. Station - 10 min walk', 'John F. Kennedy Intl. Airport (JFK) - 50 min drive']","['Valerie - 2 min walk', 'Starbucks - 1 min walk', 'Mala Project - 1 min walk', 'Ippudo 5th Avenue - 1 min walk', ""St Pat's Bar - 1 min walk""]",https://www.expedia.com/New-York-Hotels-Hilton-Garden-Inn-New-York-Times-Square-North.h11718114.Hotel-Information,$215
h17939,"The James New York - NoMad Reviews, Deals & Photos 2023 - Expedia",4.5 star property,8.4/10 Very Good,"['Free WiFi', 'Pet friendly', 'Air conditioning', 'Restaurant', 'Gym', 'Breakfast available']","['Museum of Sex - 3 min walk', 'Empire State Building - 9 min walk', ""Macy's - 10 min walk"", 'Broadway - 18 min walk', 'Times Square - 19 min walk']","['28 St. Station (Park Av. S) - 3 min walk', 'New York W 32nd St. Station - 7 min walk', 'LaGuardia Airport (LGA) - 28 min drive']","['Seven Grams Caffe - 1 min walk', 'Blank Slate - 1 min walk', 'Marta - 1 min walk', 'The Churchill - 2 min walk', 'The Seville - 4 min walk']",https://www.expedia.com/New-York-Hotels-The-James-New-York-NoMad.h17939186.Hotel-Information,$259
h79466,"Hilton Garden Inn New York/Midtown Park Ave Reviews, Deals & Photos 2023 - Expedia",3.0 star property,8.4/10 Very Good,"['Free WiFi', 'Pet friendly', 'Air conditioning', 'Restaurant', 'Gym', 'Breakfast available']","['Empire State Building - 6 min walk', 'Grand Central Terminal - 10 min walk', 'Bryant Park - 14 min walk', 'Broadway - 17 min walk', 'Times Square - 18 min walk']","['33 St. Station (Park Av. S) - 5 min walk', 'New York W 32nd St. Station - 7 min walk', 'LaGuardia Airport (LGA) - 25 min drive']","[""Wolfgang's Steakhouse - 1 min walk"", 'Pret A Manger - 1 min walk', 'Sushi By Bou - Su - 3 min walk', ""Tina's Cuban Cuisine - 2 min walk"", 'Starbucks - 2 min walk']",https://www.expedia.com/New-York-Hotels-Hilton-Garden-Inn-New-YorkMidtown-Park-Ave.h7946632.Hotel-Information,$167
