id_hotel,name_hotel,Around_place,Around_time
h15129,"Martinique New York on Broadway, Curio Collection by Hilton",New York W 32nd St. Station,1
h15129,"Martinique New York on Broadway, Curio Collection by Hilton",34 St. Station (Herald Square),3
h15129,"Martinique New York on Broadway, Curio Collection by Hilton",LaGuardia Airport (LGA),162
h11668,Renaissance New York Midtown Hotel,34 St.Penn Station (Fashion Av.),2
h11668,Renaissance New York Midtown Hotel,Penn Station,6
h11668,Renaissance New York Midtown Hotel,John F. Kennedy Intl. Airport (JFK),306
h36712,Doubletree by Hilton New York Times Square South,34 St.Penn Station,3
h36712,Doubletree by Hilton New York Times Square South,Penn Station,5
h36712,Doubletree by Hilton New York Times Square South,John F. Kennedy Intl. Airport (JFK),300
h17117,"PUBLIC, an Ian Schrager hotel",2 Av. Station,2
h17117,"PUBLIC, an Ian Schrager hotel",New York 9th St. Station,18
h17117,"PUBLIC, an Ian Schrager hotel",John F. Kennedy Intl. Airport (JFK),300
h17924,Moxy NYC Times Square,34 St.Penn Station (Fashion Av.),3
h17924,Moxy NYC Times Square,New York W 32nd St. Station,7
h17924,Moxy NYC Times Square,LaGuardia Airport (LGA),168
h59504,"Club Quarters Hotel, Grand Central",Grand Central42 St. Station,7
h59504,"Club Quarters Hotel, Grand Central",5 Av Station (W. 42nd St.),9
h59504,"Club Quarters Hotel, Grand Central",John F. Kennedy Intl. Airport (JFK),282
h55092,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",New York W 32nd St. Station,18
h55092,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",50 St. Station (8th Av.),12
h55092,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",LaGuardia Airport (LGA),228
h11718,Hilton Garden Inn New York Times Square North,4750 StsRockefeller Center Station,4
h11718,Hilton Garden Inn New York Times Square North,Grand Central42 St. Station,10
h11718,Hilton Garden Inn New York Times Square North,John F. Kennedy Intl. Airport (JFK),300
h17939,The James New York - NoMad,28 St. Station (Park Av. S),3
h17939,The James New York - NoMad,New York W 32nd St. Station,7
h17939,The James New York - NoMad,LaGuardia Airport (LGA),168
h79466,Hilton Garden Inn New York/Midtown Park Ave,33 St. Station (Park Av. S),5
h79466,Hilton Garden Inn New York/Midtown Park Ave,New York W 32nd St. Station,7
h79466,Hilton Garden Inn New York/Midtown Park Ave,LaGuardia Airport (LGA),150
h19681,Pod Times Square,Times Sq.42 St. Station,8
h19681,Pod Times Square,Penn Station,14
h19681,Pod Times Square,John F. Kennedy Intl. Airport (JFK),324
h23668,Hilton Garden Inn New York/West 35th Street,34 St. Station (Herald Square),2
h23668,Hilton Garden Inn New York/West 35th Street,New York W 32nd St. Station,4
h23668,Hilton Garden Inn New York/West 35th Street,LaGuardia Airport (LGA),162
h62560,Hotel Boutique at Grand Central,Grand Central42 St. Station,7
h62560,Hotel Boutique at Grand Central,5 Av Station (W. 42nd St.),9
h62560,Hotel Boutique at Grand Central,John F. Kennedy Intl. Airport (JFK),276
h37361,Sheraton Tribeca New York Hotel,Canal St. Station (W. Broadway),2
h37361,Sheraton Tribeca New York Hotel,New York Christopher St. Station,19
h37361,Sheraton Tribeca New York Hotel,LaGuardia Airport (LGA),180
h39286,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",4750 StsRockefeller Center Station,5
h39286,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",Grand Central42 St. Station,15
h39286,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",John F. Kennedy Intl. Airport (JFK),330
h10961,Hampton Inn Manhattan/Times Square Central,Times Sq.42 St. Station,2
h10961,Hampton Inn Manhattan/Times Square Central,Penn Station,11
h10961,Hampton Inn Manhattan/Times Square Central,John F. Kennedy Intl. Airport (JFK),324
h87406,Virgin Hotels New York City,28 St. Station (Broadway),2
h87406,Virgin Hotels New York City,New York W 32nd St. Station,3
h87406,Virgin Hotels New York City,John F. Kennedy Intl. Airport (JFK),300
h17432,Hilton Garden Inn New York Times Square South,34 St.Penn Station,5
h17432,Hilton Garden Inn New York Times Square South,Penn Station,7
h17432,Hilton Garden Inn New York Times Square South,LaGuardia Airport (LGA),192
h16233,Hilton Garden Inn New York/Manhattan-Chelsea,28 St. Station (7th Av.),2
h16233,Hilton Garden Inn New York/Manhattan-Chelsea,New York W 32nd St. Station,5
h16233,Hilton Garden Inn New York/Manhattan-Chelsea,LaGuardia Airport (LGA),180
h48669,Arlo Midtown,34 St.Penn Station,7
h48669,Arlo Midtown,Penn Station,9
h48669,Arlo Midtown,John F. Kennedy Intl. Airport (JFK),312
h18645,Four Points by Sheraton Manhattan SoHo Village,Houston St. Station,3
h18645,Four Points by Sheraton Manhattan SoHo Village,New York Christopher St. Station,11
h18645,Four Points by Sheraton Manhattan SoHo Village,John F. Kennedy Intl. Airport (JFK),300
h24245,Paramount Times Square,49th St. Station,3
h24245,Paramount Times Square,Penn Station,16
h24245,Paramount Times Square,LaGuardia Airport (LGA),192
h53399,"Club Quarters, Times Square - Midtown",5 Av Station (W. 42nd St.),4
h53399,"Club Quarters, Times Square - Midtown",Grand Central42 St. Station,11
h53399,"Club Quarters, Times Square - Midtown",LaGuardia Airport (LGA),186
