id_hotel,name_hotel,Location_place,Location_time
h15129,"Martinique New York on Broadway, Curio Collection by Hilton",Empire State Building,3
h15129,"Martinique New York on Broadway, Curio Collection by Hilton",Madison Square Garden,9
h15129,"Martinique New York on Broadway, Curio Collection by Hilton",Bryant Park,10
h15129,"Martinique New York on Broadway, Curio Collection by Hilton",Broadway,11
h15129,"Martinique New York on Broadway, Curio Collection by Hilton",Times Square,13
h11668,Renaissance New York Midtown Hotel,Madison Square Garden,4
h11668,Renaissance New York Midtown Hotel,Empire State Building,6
h11668,Renaissance New York Midtown Hotel,Times Square,9
h11668,Renaissance New York Midtown Hotel,Broadway,9
h11668,Renaissance New York Midtown Hotel,Bryant Park,10
h36712,Doubletree by Hilton New York Times Square South,Madison Square Garden,4
h36712,Doubletree by Hilton New York Times Square South,Times Square,8
h36712,Doubletree by Hilton New York Times Square South,Empire State Building,10
h36712,Doubletree by Hilton New York Times Square South,Broadway,10
h36712,Doubletree by Hilton New York Times Square South,Bryant Park,12
h17117,"PUBLIC, an Ian Schrager hotel",Washington Square Park,14
h17117,"PUBLIC, an Ian Schrager hotel",Wall Street,24
h17117,"PUBLIC, an Ian Schrager hotel",Brooklyn Bridge,30
h17117,"PUBLIC, an Ian Schrager hotel",National September 11 Memorial,36
h17117,"PUBLIC, an Ian Schrager hotel",One World Trade Center,36
h17924,Moxy NYC Times Square,Empire State Building,6
h17924,Moxy NYC Times Square,Broadway,7
h17924,Moxy NYC Times Square,Madison Square Garden,7
h17924,Moxy NYC Times Square,Times Square,7
h17924,Moxy NYC Times Square,Bryant Park,8
h59504,"Club Quarters Hotel, Grand Central",Grand Central Terminal,8
h59504,"Club Quarters Hotel, Grand Central",Bryant Park,11
h59504,"Club Quarters Hotel, Grand Central",Broadway,15
h59504,"Club Quarters Hotel, Grand Central",Times Square,17
h59504,"Club Quarters Hotel, Grand Central",Empire State Building,19
h55092,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",Manhattan Cruise Terminal,12
h55092,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",Times Square,16
h55092,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",Broadway,17
h55092,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",Rockefeller Center,17
h55092,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",Museum of Modern Art,18
h11718,Hilton Garden Inn New York Times Square North,Rockefeller Center,5
h11718,Hilton Garden Inn New York Times Square North,Bryant Park,6
h11718,Hilton Garden Inn New York Times Square North,Broadway,8
h11718,Hilton Garden Inn New York Times Square North,Times Square,10
h11718,Hilton Garden Inn New York Times Square North,Empire State Building,15
h17939,The James New York - NoMad,Museum of Sex,3
h17939,The James New York - NoMad,Empire State Building,9
h17939,The James New York - NoMad,"""Macys""",10
h17939,The James New York - NoMad,Broadway,18
h17939,The James New York - NoMad,Times Square,19
h79466,Hilton Garden Inn New York/Midtown Park Ave,Empire State Building,6
h79466,Hilton Garden Inn New York/Midtown Park Ave,Grand Central Terminal,10
h79466,Hilton Garden Inn New York/Midtown Park Ave,Bryant Park,14
h79466,Hilton Garden Inn New York/Midtown Park Ave,Broadway,17
h79466,Hilton Garden Inn New York/Midtown Park Ave,Times Square,18
h19681,Pod Times Square,Times Square,6
h19681,Pod Times Square,Broadway,8
h19681,Pod Times Square,Bryant Park,10
h19681,Pod Times Square,Madison Square Garden,13
h19681,Pod Times Square,Empire State Building,17
h23668,Hilton Garden Inn New York/West 35th Street,Empire State Building,3
h23668,Hilton Garden Inn New York/West 35th Street,Bryant Park,7
h23668,Hilton Garden Inn New York/West 35th Street,Broadway,9
h23668,Hilton Garden Inn New York/West 35th Street,Madison Square Garden,9
h23668,Hilton Garden Inn New York/West 35th Street,Times Square,10
h62560,Hotel Boutique at Grand Central,Grand Central Terminal,8
h62560,Hotel Boutique at Grand Central,Bryant Park,11
h62560,Hotel Boutique at Grand Central,Broadway,15
h62560,Hotel Boutique at Grand Central,Times Square,17
h62560,Hotel Boutique at Grand Central,Empire State Building,19
h37361,Sheraton Tribeca New York Hotel,Washington Square Park,16
h37361,Sheraton Tribeca New York Hotel,One World Trade Center,16
h37361,Sheraton Tribeca New York Hotel,National September 11 Memorial,19
h37361,Sheraton Tribeca New York Hotel,Wall Street,18
h37361,Sheraton Tribeca New York Hotel,Brooklyn Bridge,24
h39286,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",Rockefeller Center,3
h39286,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",Museum of Modern Art,6
h39286,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",Broadway,13
h39286,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",Times Square,15
h39286,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",5th Avenue,19
h10961,Hampton Inn Manhattan/Times Square Central,Times Square,3
h10961,Hampton Inn Manhattan/Times Square Central,Broadway,4
h10961,Hampton Inn Manhattan/Times Square Central,Madame Tussauds Wax Museum,4
h10961,Hampton Inn Manhattan/Times Square Central,Bryant Park,5
h10961,Hampton Inn Manhattan/Times Square Central,Empire State Building,11
