id_hotel,name_hotel,Restaurant_place,Restaurant_time
h15129,"Martinique New York on Broadway, Curio Collection by Hilton",The Harold,1
h15129,"Martinique New York on Broadway, Curio Collection by Hilton",Biao Sugar,1
h15129,"Martinique New York on Broadway, Curio Collection by Hilton",Yong Kang Street,1
h15129,"Martinique New York on Broadway, Curio Collection by Hilton",Gaonnuri,1
h15129,"Martinique New York on Broadway, Curio Collection by Hilton",Tous Les Jours,1
h11668,Renaissance New York Midtown Hotel,Best Bagel & Coffee,1
h11668,Renaissance New York Midtown Hotel,Starbucks,1
h11668,Renaissance New York Midtown Hotel,Versa,1
h11668,Renaissance New York Midtown Hotel,The Bread Factory Cafe,1
h11668,Renaissance New York Midtown Hotel,"""TGI Fridays""",2
h36712,Doubletree by Hilton New York Times Square South,The Tailor Public House,1
h36712,Doubletree by Hilton New York Times Square South,Starbucks,2
h36712,Doubletree by Hilton New York Times Square South,Gregorys Coffee,1
h36712,Doubletree by Hilton New York Times Square South,Essen,1
h36712,Doubletree by Hilton New York Times Square South,The Houndstooth Pub,1
h17117,"PUBLIC, an Ian Schrager hotel",La Colombe Coffee Roasters,2
h17117,"PUBLIC, an Ian Schrager hotel",Topped & Wrapped,2
h17117,"PUBLIC, an Ian Schrager hotel",PublicRooftop & Garden,1
h17117,"PUBLIC, an Ian Schrager hotel",Freemans,3
h17117,"PUBLIC, an Ian Schrager hotel",The Box,1
h17924,Moxy NYC Times Square,Magic Hour Rooftop Bar & Lounge,1
h17924,Moxy NYC Times Square,Starbucks,1
h17924,Moxy NYC Times Square,The Bread Factory Cafe,1
h17924,Moxy NYC Times Square,Pig n Whistle,1
h17924,Moxy NYC Times Square,Zen Ramen & Sushi,1
h59504,"Club Quarters Hotel, Grand Central",The Wheeltapper Pub,2
h59504,"Club Quarters Hotel, Grand Central",99 Cent Fresh Pizza,1
h59504,"Club Quarters Hotel, Grand Central",Gai Chicken & Rice,1
h59504,"Club Quarters Hotel, Grand Central",Dos Toros Taqueria,1
h59504,"Club Quarters Hotel, Grand Central","""Uncle Charlies""",1
h55092,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",The Press Lounge,2
h55092,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",Hardware Bar,2
h55092,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",Landmark Tavern,3
h55092,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",Thirst NYC,2
h55092,"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",American Retro,4
h11718,Hilton Garden Inn New York Times Square North,Valerie,2
h11718,Hilton Garden Inn New York Times Square North,Starbucks,1
h11718,Hilton Garden Inn New York Times Square North,Mala Project,1
h11718,Hilton Garden Inn New York Times Square North,Ippudo 5th Avenue,1
h11718,Hilton Garden Inn New York Times Square North,"""St Pats Bar""",1
h17939,The James New York - NoMad,Seven Grams Caffe,1
h17939,The James New York - NoMad,Blank Slate,1
h17939,The James New York - NoMad,Marta,1
h17939,The James New York - NoMad,The Churchill,2
h17939,The James New York - NoMad,The Seville,4
h79466,Hilton Garden Inn New York/Midtown Park Ave,"""Wolfgangs Steakhouse""",1
h79466,Hilton Garden Inn New York/Midtown Park Ave,Pret A Manger,1
h79466,Hilton Garden Inn New York/Midtown Park Ave,Sushi By BouSu,3
h79466,Hilton Garden Inn New York/Midtown Park Ave,"""Tinas Cuban Cuisine""",2
h79466,Hilton Garden Inn New York/Midtown Park Ave,Starbucks,2
h19681,Pod Times Square,Frames Bowling Lounge,5
h19681,Pod Times Square,Starbucks,1
h19681,Pod Times Square,GRIND The NYC Coffee Shop,2
h19681,Pod Times Square,"""Ollies""",1
h19681,Pod Times Square,West Bank Cafe,1
h23668,Hilton Garden Inn New York/West 35th Street,Wafels & Dinges Cabana,1
h23668,Hilton Garden Inn New York/West 35th Street,Taco Bell,1
h23668,Hilton Garden Inn New York/West 35th Street,Monarch Rooftop,1
h23668,Hilton Garden Inn New York/West 35th Street,Burger King,2
h23668,Hilton Garden Inn New York/West 35th Street,"""I Milky""",2
h62560,Hotel Boutique at Grand Central,The Wheeltapper Pub,2
h62560,Hotel Boutique at Grand Central,99 Cent Fresh Pizza,1
h62560,Hotel Boutique at Grand Central,Gai Chicken & Rice,1
h62560,Hotel Boutique at Grand Central,Dos Toros Taqueria,1
h62560,Hotel Boutique at Grand Central,"""Uncle Charlies""",1
h37361,Sheraton Tribeca New York Hotel,Club Room at Soho Grand Hotel,1
h37361,Sheraton Tribeca New York Hotel,Pepolino,1
h37361,Sheraton Tribeca New York Hotel,BINY Karaoke Bar and Lounge,2
h37361,Sheraton Tribeca New York Hotel,Matchaful,1
h37361,Sheraton Tribeca New York Hotel,Spring Place,3
h39286,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center","""Bills Bar & Burger""",1
h39286,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center","""Del Friscos Grille""",1
h39286,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",Black Seed Bagels,1
h39286,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",City Winery Pop Up,2
h39286,"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",Dos Toros Taqueria,5
h10961,Hampton Inn Manhattan/Times Square Central,Red Lobster,2
h10961,Hampton Inn Manhattan/Times Square Central,Carnegie Pizza,1
h10961,Hampton Inn Manhattan/Times Square Central,Paris Baguette,2
h10961,Hampton Inn Manhattan/Times Square Central,Five Guys Burgers & Fries,4
h10961,Hampton Inn Manhattan/Times Square Central,Margaritaville RestaurantTimes Square,3
h87406,Virgin Hotels New York City,Skirt Steak,3
h87406,Virgin Hotels New York City,Milk Bar NYC Flagship,1
h87406,Virgin Hotels New York City,"""LAmico""",2
h87406,Virgin Hotels New York City,Stumptown Coffee Roasters,1
h87406,Virgin Hotels New York City,Paper Coffee,2
h17432,Hilton Garden Inn New York Times Square South,Essen,3
h17432,Hilton Garden Inn New York Times Square South,Non Solo Piada,1
h17432,Hilton Garden Inn New York Times Square South,Arvaci coffee,6
h17432,Hilton Garden Inn New York Times Square South,The Distinguished Wakamba Cocktail Lounge,2
h17432,Hilton Garden Inn New York Times Square South,Aiyara Thai,2
h16233,Hilton Garden Inn New York/Manhattan-Chelsea,Skirt Steak,2
h16233,Hilton Garden Inn New York/Manhattan-Chelsea,"""LAmico""",3
h16233,Hilton Garden Inn New York/Manhattan-Chelsea,"""McDonalds""",1
h16233,Hilton Garden Inn New York/Manhattan-Chelsea,Barn Joo Nomad,1
h16233,Hilton Garden Inn New York/Manhattan-Chelsea,The Wilson NYC,4
h48669,Arlo Midtown,Tavola,1
h48669,Arlo Midtown,"""Scallywags""",1
